idx,lon_min,lat_min,lon_max,lat_max,file,note
0,79.86,6.86,79.886667,6.887143,sri_lanka_floods_2025_20260628_200605_0000_79.860_6.860.png,valid=1.00
1,79.886667,6.86,79.913333,6.887143,sri_lanka_floods_2025_20260628_200605_0001_79.887_6.860.png,valid=1.00
2,79.913333,6.86,79.94,6.887143,sri_lanka_floods_2025_20260628_200605_0002_79.913_6.860.png,valid=1.00
3,79.94,6.86,79.966667,6.887143,sri_lanka_floods_2025_20260628_200605_0003_79.940_6.860.png,valid=1.00
4,79.966667,6.86,79.993333,6.887143,sri_lanka_floods_2025_20260628_200605_0004_79.967_6.860.png,valid=1.00
5,79.993333,6.86,80.02,6.887143,sri_lanka_floods_2025_20260628_200605_0005_79.993_6.860.png,valid=1.00
6,80.02,6.86,80.046667,6.887143,sri_lanka_floods_2025_20260628_200605_0006_80.020_6.860.png,valid=1.00
7,80.046667,6.86,80.073333,6.887143,sri_lanka_floods_2025_20260628_200605_0007_80.047_6.860.png,valid=1.00
8,80.073333,6.86,80.1,6.887143,sri_lanka_floods_2025_20260628_200605_0008_80.073_6.860.png,valid=1.00
9,79.86,6.887143,79.886667,6.914286,sri_lanka_floods_2025_20260628_200605_0009_79.860_6.887.png,valid=1.00
10,79.886667,6.887143,79.913333,6.914286,sri_lanka_floods_2025_20260628_200605_0010_79.887_6.887.png,valid=1.00
11,79.913333,6.887143,79.94,6.914286,sri_lanka_floods_2025_20260628_200605_0011_79.913_6.887.png,valid=1.00
12,79.94,6.887143,79.966667,6.914286,sri_lanka_floods_2025_20260628_200605_0012_79.940_6.887.png,valid=1.00
13,79.966667,6.887143,79.993333,6.914286,sri_lanka_floods_2025_20260628_200605_0013_79.967_6.887.png,valid=1.00
14,79.993333,6.887143,80.02,6.914286,sri_lanka_floods_2025_20260628_200605_0014_79.993_6.887.png,valid=1.00
15,80.02,6.887143,80.046667,6.914286,sri_lanka_floods_2025_20260628_200605_0015_80.020_6.887.png,valid=1.00
16,80.046667,6.887143,80.073333,6.914286,sri_lanka_floods_2025_20260628_200605_0016_80.047_6.887.png,valid=1.00
17,80.073333,6.887143,80.1,6.914286,sri_lanka_floods_2025_20260628_200605_0017_80.073_6.887.png,valid=1.00
18,79.86,6.914286,79.886667,6.941429,sri_lanka_floods_2025_20260628_200605_0018_79.860_6.914.png,valid=1.00
19,79.886667,6.914286,79.913333,6.941429,sri_lanka_floods_2025_20260628_200605_0019_79.887_6.914.png,valid=1.00
20,79.913333,6.914286,79.94,6.941429,sri_lanka_floods_2025_20260628_200605_0020_79.913_6.914.png,valid=1.00
21,79.94,6.914286,79.966667,6.941429,sri_lanka_floods_2025_20260628_200605_0021_79.940_6.914.png,valid=1.00
22,79.966667,6.914286,79.993333,6.941429,sri_lanka_floods_2025_20260628_200605_0022_79.967_6.914.png,valid=1.00
23,79.993333,6.914286,80.02,6.941429,sri_lanka_floods_2025_20260628_200605_0023_79.993_6.914.png,valid=1.00
24,80.02,6.914286,80.046667,6.941429,sri_lanka_floods_2025_20260628_200605_0024_80.020_6.914.png,valid=1.00
25,80.046667,6.914286,80.073333,6.941429,sri_lanka_floods_2025_20260628_200605_0025_80.047_6.914.png,valid=1.00
26,80.073333,6.914286,80.1,6.941429,sri_lanka_floods_2025_20260628_200605_0026_80.073_6.914.png,valid=1.00
27,79.86,6.941429,79.886667,6.968571,sri_lanka_floods_2025_20260628_200605_0027_79.860_6.941.png,valid=1.00
28,79.886667,6.941429,79.913333,6.968571,sri_lanka_floods_2025_20260628_200605_0028_79.887_6.941.png,valid=1.00
29,79.913333,6.941429,79.94,6.968571,sri_lanka_floods_2025_20260628_200605_0029_79.913_6.941.png,valid=1.00
30,79.94,6.941429,79.966667,6.968571,sri_lanka_floods_2025_20260628_200605_0030_79.940_6.941.png,valid=1.00
